"filename", "language", "Shell Script", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/.prettierrc", "JSON", 0, 0, 9, 0, 0, 1, 10
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/README.md", "Markdown", 0, 0, 0, 26, 0, 13, 39
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution.js", "JavaScript", 0, 50, 0, 0, 9, 11, 70
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/all.js", "JavaScript", 0, 20, 0, 0, 20, 11, 51
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/comm.js", "JavaScript", 0, 40, 0, 0, 0, 2, 42
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/crawler.js", "JavaScript", 0, 150, 0, 0, 8, 11, 169
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/gossip.js", "JavaScript", 0, 171, 0, 0, 7, 2, 180
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/groups.js", "JavaScript", 0, 128, 0, 0, 7, 2, 137
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/mem.js", "JavaScript", 0, 308, 0, 0, 42, 45, 395
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/mr.js", "JavaScript", 0, 224, 0, 0, 16, 14, 254
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/query.js", "JavaScript", 0, 24, 0, 0, 6, 3, 33
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/routes.js", "JavaScript", 0, 72, 0, 0, 7, 2, 81
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/status.js", "JavaScript", 0, 169, 0, 0, 7, 2, 178
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/store.js", "JavaScript", 0, 315, 0, 0, 56, 48, 419
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/all/toy_crawler.js", "JavaScript", 0, 54, 0, 0, 23, 5, 82
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/config/config.js", "JavaScript", 0, 10, 0, 0, 4, 3, 17
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/config/mapper.js", "JavaScript", 0, 61, 0, 0, 10, 8, 79
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/config/reducer.js", "JavaScript", 0, 19, 0, 0, 0, 4, 23
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/comm.js", "JavaScript", 0, 119, 0, 0, 7, 2, 128
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/gossip.js", "JavaScript", 0, 98, 0, 0, 7, 2, 107
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/groups.js", "JavaScript", 0, 222, 0, 0, 7, 2, 231
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/local.js", "JavaScript", 0, 71, 0, 0, 7, 2, 80
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/mem.js", "JavaScript", 0, 119, 0, 0, 0, 8, 127
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/node.js", "JavaScript", 0, 98, 0, 0, 59, 30, 187
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/query.js", "JavaScript", 0, 45, 0, 0, 5, 8, 58
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/routes.js", "JavaScript", 0, 109, 0, 0, 7, 2, 118
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/status.js", "JavaScript", 0, 154, 0, 0, 7, 2, 163
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/local/store.js", "JavaScript", 0, 163, 0, 0, 12, 30, 205
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/id.js", "JavaScript", 0, 149, 0, 0, 7, 2, 158
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/log.js", "JavaScript", 0, 21, 0, 0, 0, 3, 24
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/promisify.js", "JavaScript", 0, 17, 0, 0, 2, 1, 20
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/serialization.js", "JavaScript", 0, 617, 0, 0, 7, 2, 626
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/util.js", "JavaScript", 0, 13, 0, 0, 0, 2, 15
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/distribution/util/wire.js", "JavaScript", 0, 80, 0, 0, 7, 2, 89
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/docs/README.md", "Markdown", 0, 0, 0, 185, 0, 85, 270
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/App.js", "JavaScript", 0, 33, 0, 0, 0, 4, 37
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/cleanup.js", "JavaScript", 0, 14, 0, 0, 0, 3, 17
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/config.js", "JavaScript", 0, 31, 0, 0, 24, 10, 65
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/crawler.js", "JavaScript", 0, 47, 0, 0, 0, 8, 55
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/init.js", "JavaScript", 0, 24, 0, 0, 3, 5, 32
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/mapreduce.js", "JavaScript", 0, 15, 0, 0, 1, 4, 20
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/engine/query.js", "JavaScript", 0, 34, 0, 0, 1, 7, 42
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/package-lock.json", "JSON", 0, 0, 6250, 0, 0, 1, 6251
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/package.json", "JSON", 0, 0, 25, 0, 0, 1, 26
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/scripts/delete.sh", "Shell Script", 13, 0, 0, 0, 8, 6, 27
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/scripts/deleteForMac.sh", "Shell Script", 11, 0, 0, 0, 5, 5, 21
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/scripts/submit.sh", "Shell Script", 34, 0, 0, 0, 1, 21, 56
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/start.sh", "Shell Script", 1, 0, 0, 0, 0, 0, 1
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/all.student.test.js", "JavaScript", 0, 419, 0, 0, 44, 79, 542
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/all.test.js", "JavaScript", 0, 859, 0, 0, 56, 112, 1027
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/crawl.test.js", "JavaScript", 0, 253, 0, 0, 15, 28, 296
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/lint.test.js", "JavaScript", 0, 12, 0, 0, 1, 5, 18
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/local.test.js", "JavaScript", 0, 667, 0, 0, 13, 107, 787
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/mapReduce.test.js", "JavaScript", 0, 87, 0, 0, 18, 17, 122
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/mr.test.js", "JavaScript", 0, 187, 0, 0, 21, 35, 243
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/oracle.js", "JavaScript", 0, 151, 0, 0, 7, 2, 160
"/Users/liyuanfeng/Desktop/研究生学习/CSCI 1380 Distributed System/m6/test/serialization.test.js", "JavaScript", 0, 130, 0, 0, 2, 25, 157
"Total", "-", 59, 6873, 6284, 211, 583, 857, 14867
